Wijken,
West,0.042
Noordwest,0.045
Overvecht,0.035
Noordoost,0.035
Oost,0.039
Binnenstad,0.039
Zuid,0.035
Zuidwest,0.038
Leidsche Rijn,0.040
Vleuten-De Meern,0.045
